KNOT_ID,Activity,STK_AI,STK_CERT,STK_SAF,STK_SE,STK_DATA,STK_TEST,STK_SW,STK_HF,STK_OPS,STK_CM
KNOT-95-00-001,Define certification basis,C,R,C,C,I,I,I,I,I,I
KNOT-95-00-001,Develop MoC matrix,C,R,C,C,I,C,C,I,I,I
KNOT-95-00-001,Conduct authority engagement,C,R,C,I,I,I,I,I,I,I
KNOT-95-00-001,ML safety assessment methodology,C,C,R,C,I,I,I,I,I,I
KNOT-95-00-001,Approve certification strategy,I,A,C,C,I,I,I,I,I,I
KNOT-95-00-002,Define learning assurance objectives,R,C,C,C,I,C,C,I,I,I
KNOT-95-00-002,Develop LA process model,R,C,I,C,I,C,C,I,I,I
KNOT-95-00-002,Define architecture constraints,R,C,C,C,I,I,C,I,I,I
KNOT-95-00-002,Establish development environment standard,C,I,I,I,I,I,C,I,I,R
KNOT-95-00-002,Approve learning assurance framework,A,C,C,C,I,I,I,I,I,I
KNOT-95-00-003,Define data quality requirements,C,C,C,I,R,I,I,I,I,I
KNOT-95-00-003,Develop representativeness framework,C,C,C,I,R,C,I,I,I,I
KNOT-95-00-003,Conduct bias analysis,C,I,C,I,R,I,I,C,I,I
KNOT-95-00-003,Establish data versioning standard,I,I,I,I,C,I,I,I,I,R
KNOT-95-00-003,Approve data governance framework,C,C,C,I,A,I,I,I,I,C
KNOT-95-00-004,Define V&V objectives,C,C,C,C,I,R,I,I,I,I
KNOT-95-00-004,Analyze coverage criteria,C,C,I,I,I,R,C,I,I,I
KNOT-95-00-004,Assess formal methods applicability,R,I,I,I,I,C,C,I,I,I
KNOT-95-00-004,Develop robustness testing framework,C,C,C,I,I,R,I,I,I,I
KNOT-95-00-004,Define adversarial testing procedure,C,C,C,I,I,R,I,I,I,I
KNOT-95-00-004,Approve V&V methodology,C,C,C,C,I,A,I,I,I,I
KNOT-95-00-005,Define runtime monitoring requirements,R,C,C,C,I,I,C,I,C,I
KNOT-95-00-005,Analyze OOD detection methods,R,I,C,C,I,C,I,I,I,I
KNOT-95-00-005,Specify monitor-model interface,R,I,I,C,I,I,C,I,I,I
KNOT-95-00-005,Conduct fallback mode safety analysis,C,C,R,C,I,I,I,I,C,I
KNOT-95-00-005,Approve monitoring architecture,A,C,C,C,I,I,I,I,C,I
KNOT-95-00-006,Define explainability requirements,R,C,C,I,I,I,I,C,I,I
KNOT-95-00-006,Analyze interpretability methods,R,C,I,I,I,I,I,C,I,I
KNOT-95-00-006,Specify explanation output format,C,I,I,I,I,I,I,R,I,I
KNOT-95-00-006,Approve explainability approach,A,C,I,I,I,I,I,C,I,I
KNOT-95-00-007,Define human-AI teaming requirements,C,I,C,I,I,I,I,R,C,I
KNOT-95-00-007,Analyze trust calibration,C,I,C,I,I,I,I,R,C,I
KNOT-95-00-007,Conduct interaction hazard analysis,C,C,R,I,I,I,I,C,C,I
KNOT-95-00-007,Specify transparency interface,C,I,I,I,I,I,I,R,C,I
KNOT-95-00-007,Approve human-AI interaction design,C,I,C,I,I,I,I,A,C,I
KNOT-95-00-008,Define tool qualification requirements,C,R,I,I,I,I,R,I,I,I
KNOT-95-00-008,Analyze ML framework qualification,C,C,I,I,I,I,R,I,I,I
KNOT-95-00-008,Analyze training pipeline tools,C,I,I,I,C,I,R,I,I,I
KNOT-95-00-008,Establish toolchain configuration standard,I,I,I,I,I,I,C,I,I,R
KNOT-95-00-008,Approve tool qualification strategy,C,C,I,I,I,I,A,I,I,C
