Milestone_ID,KNOT_ID,Name,Date,Entry_Criteria,Exit_Criteria,Status,Dependencies
MS-95-00-001,ALL,AI/ML Governance Kickoff,2026-02-15,"Program baseline approved; stakeholders identified","Kickoff complete; KNOT ownership assigned; initial timeline agreed",PLANNED,
MS-95-00-002,KNOT-95-00-001,Certification Pre-Application Meeting,2026-04-30,"Certification strategy draft complete; authority contact established","Pre-application meeting held; feedback documented; CRI topics identified",PLANNED,MS-95-00-001
MS-95-00-003,KNOT-95-00-002,Learning Assurance Objectives Baseline,2026-05-15,"EASA W-shape process reviewed; DAL allocations confirmed","LA objectives documented; stakeholder review complete",PLANNED,MS-95-00-002
MS-95-00-004,KNOT-95-00-003,Data Governance Framework Review,2026-06-15,"Data quality requirements drafted; provenance approach defined","Framework reviewed by STK_CERT and STK_SAF; gaps identified",PLANNED,MS-95-00-003
MS-95-00-005,KNOT-95-00-004,V&V Methodology Preliminary Design Review,2026-07-15,"Coverage criteria drafted; robustness approach defined","PDR complete; methodology approved for development",PLANNED,MS-95-00-003
MS-95-00-006,KNOT-95-00-001,Certification Issue Paper Submission,2026-07-31,"MoC analysis complete; novel aspects documented","IP submitted to authority; acknowledgment received",PLANNED,MS-95-00-002
MS-95-00-007,KNOT-95-00-005,Runtime Monitoring Architecture Review,2026-08-15,"Monitor requirements baselined; OOD methods selected","Architecture approved; interface specifications drafted",PLANNED,MS-95-00-005
MS-95-00-008,KNOT-95-00-006,Explainability Approach Approval,2026-08-15,"Explainability requirements defined; methods selected","Approach approved by STK_CERT; implementation guidance issued",PLANNED,MS-95-00-003
MS-95-00-009,KNOT-95-00-007,Human-AI Interaction Concept Review,2026-08-31,"Teaming requirements defined; trust mechanisms proposed","Concept approved by STK_HF and STK_SAF",PLANNED,MS-95-00-008
MS-95-00-010,KNOT-95-00-008,Tool Qualification Strategy Approval,2026-09-15,"Framework analysis complete; qualification gaps identified","Strategy approved; qualification plan established",PLANNED,MS-95-00-003
MS-95-00-011,KNOT-95-00-001,Certification Strategy Approval,2026-09-30,"All MoC finalized; authority feedback incorporated","Strategy approved by STK_CERT; baseline frozen",PLANNED,MS-95-00-006
MS-95-00-012,ALL,ATA 95-00 Node Closure,2026-10-15,"All KNOTs closed; residuals at target; TT distributed","Node closure approved; downstream 95-10 to 95-70 unblocked",PLANNED,MS-95-00-011;MS-95-00-010;MS-95-00-009;MS-95-00-007
